# 2026-07-24T23:59:33-04:00  000b023  COUNT=10 BENCHTIME=300ms
goos: linux
goarch: amd64
pkg: github.com/jack-work/figaro/internal/chalkboard
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkLookup-16                              	 1615622	       224.4 ns/op	     176 B/op	       3 allocs/op
BenchmarkLookup-16                              	 1582204	       226.9 ns/op	     176 B/op	       3 allocs/op
BenchmarkLookup-16                              	 1578391	       225.8 ns/op	     176 B/op	       3 allocs/op
BenchmarkLookup-16                              	 1559632	       227.7 ns/op	     176 B/op	       3 allocs/op
BenchmarkLookup-16                              	 1535875	       231.5 ns/op	     176 B/op	       3 allocs/op
BenchmarkLookup-16                              	 1602255	       225.7 ns/op	     176 B/op	       3 allocs/op
BenchmarkLookup-16                              	 1585974	       227.1 ns/op	     176 B/op	       3 allocs/op
BenchmarkLookup-16                              	 1610965	       224.0 ns/op	     176 B/op	       3 allocs/op
BenchmarkLookup-16                              	 1596166	       225.7 ns/op	     176 B/op	       3 allocs/op
BenchmarkLookup-16                              	 1567942	       229.0 ns/op	     176 B/op	       3 allocs/op
BenchmarkSnapshot_Diff_Small/10keys_1diff-16    	 1472347	       243.5 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/10keys_1diff-16    	 1469251	       246.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/10keys_1diff-16    	 1479786	       240.8 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/10keys_1diff-16    	 1451776	       251.2 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/10keys_1diff-16    	 1392753	       258.2 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/10keys_1diff-16    	 1447386	       247.8 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/10keys_1diff-16    	 1482862	       244.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/10keys_1diff-16    	 1480444	       242.8 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/10keys_1diff-16    	 1465314	       245.8 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/10keys_1diff-16    	 1455816	       247.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_1diff-16    	  445434	       790.2 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_1diff-16    	  411482	       779.6 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_1diff-16    	  379837	       815.2 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_1diff-16    	  414601	       801.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_1diff-16    	  466455	       800.2 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_1diff-16    	  470792	       777.6 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_1diff-16    	  474087	       783.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_1diff-16    	  504548	       783.6 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_1diff-16    	  503985	       790.5 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_1diff-16    	  456362	       789.3 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_5diff-16    	  401426	       822.8 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_5diff-16    	  449613	       825.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_5diff-16    	  439620	       827.8 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_5diff-16    	  391862	       816.6 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_5diff-16    	  430208	       834.3 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_5diff-16    	  406538	       844.6 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_5diff-16    	  386545	       842.2 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_5diff-16    	  396388	       853.7 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_5diff-16    	  410054	       843.2 ns/op	     400 B/op	       2 allocs/op
BenchmarkSnapshot_Diff_Small/50keys_5diff-16    	  372736	       827.7 ns/op	     400 B/op	       2 allocs/op
BenchmarkRender_DefaultTemplates_5entries-16    	   41692	      8391 ns/op	    4003 B/op	      87 allocs/op
BenchmarkRender_DefaultTemplates_5entries-16    	   42986	      8376 ns/op	    4003 B/op	      87 allocs/op
BenchmarkRender_DefaultTemplates_5entries-16    	   43336	      8428 ns/op	    4003 B/op	      87 allocs/op
BenchmarkRender_DefaultTemplates_5entries-16    	   43280	      8308 ns/op	    4003 B/op	      87 allocs/op
BenchmarkRender_DefaultTemplates_5entries-16    	   41865	      8279 ns/op	    4003 B/op	      87 allocs/op
BenchmarkRender_DefaultTemplates_5entries-16    	   40520	      8460 ns/op	    4003 B/op	      87 allocs/op
BenchmarkRender_DefaultTemplates_5entries-16    	   43478	      8379 ns/op	    4003 B/op	      87 allocs/op
BenchmarkRender_DefaultTemplates_5entries-16    	   42504	      8423 ns/op	    4003 B/op	      87 allocs/op
BenchmarkRender_DefaultTemplates_5entries-16    	   44235	      8337 ns/op	    4003 B/op	      87 allocs/op
BenchmarkRender_DefaultTemplates_5entries-16    	   42866	      8225 ns/op	    4003 B/op	      87 allocs/op
PASS
ok  	github.com/jack-work/figaro/internal/chalkboard	17.765s
goos: linux
goarch: amd64
pkg: github.com/jack-work/figaro/internal/chalkboard
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkClone/default-16                       	543777781	         0.6470 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/default-16                       	558397210	         0.6442 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/default-16                       	548718045	         0.6449 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/default-16                       	559457451	         0.6430 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/default-16                       	559555452	         0.6449 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/default-16                       	557918131	         0.6441 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/default-16                       	554050171	         0.6453 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/default-16                       	559225854	         0.6435 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/default-16                       	546998124	         0.6520 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/default-16                       	509483490	         0.6584 ns/op	       0 B/op	       0 allocs/op
BenchmarkApply_SmallPatch/default-16            	  191542	      1916 ns/op	    4427 B/op	      34 allocs/op
BenchmarkApply_SmallPatch/default-16            	  188199	      1884 ns/op	    4427 B/op	      34 allocs/op
BenchmarkApply_SmallPatch/default-16            	  182127	      1899 ns/op	    4427 B/op	      34 allocs/op
BenchmarkApply_SmallPatch/default-16            	  187874	      1909 ns/op	    4427 B/op	      34 allocs/op
BenchmarkApply_SmallPatch/default-16            	  182562	      1910 ns/op	    4427 B/op	      34 allocs/op
BenchmarkApply_SmallPatch/default-16            	  178902	      1889 ns/op	    4427 B/op	      34 allocs/op
BenchmarkApply_SmallPatch/default-16            	  190212	      1910 ns/op	    4427 B/op	      34 allocs/op
BenchmarkApply_SmallPatch/default-16            	  189620	      1892 ns/op	    4427 B/op	      34 allocs/op
BenchmarkApply_SmallPatch/default-16            	  199002	      1917 ns/op	    4427 B/op	      34 allocs/op
BenchmarkApply_SmallPatch/default-16            	  188253	      1895 ns/op	    4427 B/op	      34 allocs/op
BenchmarkDiff/default/identical-16              	47073474	         6.471 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	55382229	         6.438 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	54969468	         6.441 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	55610392	         6.437 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	55908164	         6.449 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	55776759	         6.478 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	51243442	         6.431 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	54170031	         6.452 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	46883307	         6.501 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	50927084	         6.498 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/one-key-16                	  380672	       809.6 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  476545	       807.1 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  501769	       801.6 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  390422	       809.7 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  411325	       800.7 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  459778	       784.2 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  455661	       788.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  376876	       816.8 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  407322	       812.8 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  446438	       808.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/all-different-16          	  105434	      3352 ns/op	    5306 B/op	       9 allocs/op
BenchmarkDiff/default/all-different-16          	  102066	      3424 ns/op	    5306 B/op	       9 allocs/op
